year,state,medianincome,se,footnote
2007,Arkansas,46581,1539,none
2007,California,63638,706,none
2007,Colorado,69812,1158,none
2007,Connecticut,73238,2340,none
2007,Delaware,62331,2465,none
2007,D.C.,57985,1253,none
2007,Florida,52289,651,none
2007,Georgia,55540,1231,none
2007,Hawaii,73102,2426,none
2007,Idaho,56160,1474,none
2007,Illinois,59953,1085,none
2007,Indiana,54183,1433,none
2007,Iowa,55844,1657,none
2007,Kansas,55375,2061,none
2007,Kentucky,45047,1383,none
2007,Louisiana,47172,1070,none
2007,Maine,54687,1596,none
2007,Maryland,74938,1897,none
2007,Massachusetts,66755,2547,none
2007,Michigan,56372,911,none
2007,Minnesota,66292,2156,none
2007,Mississippi,42566,1086,none
2007,Missouri,52530,1261,none
2007,Montana,49846,1940,none
2007,Nebraska,56148,1575,none
2007,Nevada,61725,1478,none
2007,New Hampshire,77160,2108,none
2007,New Jersey,69090,1665,none
2007,New Mexico,50647,1683,none
2007,New York,55885,1048,none
2007,North Carolina,49684,1224,none
2007,North Dakota,53900,1462,none
2007,Ohio,56062,1239,none
2007,Oklahoma,49345,1659,none
2007,Oregon,57361,1549,none
2007,Pennsylvania,55307,1064,none
2007,Rhode Island,61898,2111,none
2007,South Carolina,50484,1773,none
2007,South Dakota,53001,1028,none
2007,Tennessee,47037,1274,none
2007,Texas,52584,799,none
2007,Utah,61121,1391,none
2007,Vermont,54111,1596,none
2007,Virginia,67552,1559,none
2007,Washington,66317,1982,none
2007,West Virginia,48061,1129,none
2007,Wisconsin,58549,1187,none
2006,United States,56598,243,none
2006,Alabama,44563,1191,none
2006,Alaska,66246,1755,none
2006,Arizona,54785,1463,none
2006,Arkansas,43513,901,none
2006,California,64956,816,none
2006,Colorado,65400,1789,none
2006,Connecticut,73275,2539,none
2006,Delaware,61573,2031,none
2006,D.C.,56922,1971,none
2006,Florida,53633,739,none
2006,Georgia,57940,1421,none
2006,Hawaii,71004,1845,none
2006,Idaho,54264,1541,none
2006,Illinois,57150,1370,none
2006,Indiana,53317,1451,none
2006,Iowa,56510,1751,none
2006,Kansas,53487,1470,none
2006,Kentucky,46364,1234,none
2006,Louisiana,42844,1673,none
2006,Maine,53593,2110,none
2006,Maryland,74759,1880,none
2006,Massachusetts,64969,2441,none
2006,Michigan,57122,1134,none
2006,Minnesota,66003,1430,none
2006,Mississippi,40784,1859,none
2006,Missouri,52345,1646,none
2006,Montana,48266,818,none
2006,Nebraska,56532,1750,none
2006,Nevada,61390,1470,none
2006,New Hampshire,72766,1737,none
2006,New Jersey,79915,2324,none
2006,New Mexico,47001,1476,none
2006,New York,56623,1161,none
2006,North Carolina,46730,957,none
2006,North Dakota,48198,1650,none
2006,Ohio,53896,743,none
2006,Oklahoma,45604,1875,none
2006,Oregon,55295,1639,none
2006,Pennsylvania,56922,1020,none
2006,Rhode Island,63097,2141,none
2006,South Carolina,46519,1582,none
2006,South Dakota,53341,1927,none
2006,Tennessee,47782,887,none
2006,Texas,50851,972,none
2006,Utah,64145,1962,none
2006,Vermont,61036,1487,none
2006,Virginia,67070,1869,none
2006,Washington,64256,1461,none
2006,West Virginia,45112,1425,none
2006,Wisconsin,60697,1346,none
2005,United States,56160,188,none
2005,Alabama,45036,1473,none
2005,Alaska,67755,1614,none
2005,Arizona,54849,1541,none
2005,Arkansas,44439,1587,none
2005,California,62741,558,none
2005,Colorado,61158,1560,none
2005,Connecticut,68899,1980,none
2005,Delaware,62111,1304,none
2005,D.C.,54544,2627,none
2005,Florida,52115,982,none
2005,Georgia,55675,1016,none
2005,Hawaii,72234,1469,none
2005,Idaho,53553,1520,none
2005,Illinois,58671,1195,none
2005,Indiana,51445,1333,none
2005,Iowa,56371,1623,none
2005,Kansas,50948,1194,none
2005,Kentucky,44489,1089,none
2005,Louisiana,45140,1572,none
2005,Maine,53246,1737,none
2005,Maryland,73357,1791,none
2005,Massachusetts,67908,2126,none
2005,Michigan,55683,1109,none
2005,Minnesota,65723,1508,none
2005,Mississippi,39853,1566,none
2005,Missouri,52111,1199,none
2005,Montana,45233,1407,none
2005,Nebraska,58096,1754,none
2005,Nevada,58442,2037,none
2005,New Hampshire,69080,2456,none
2005,New Jersey,76819,2736,none
2005,New Mexico,47214,2061,none
2005,New York,57190,1003,none
2005,North Carolina,50983,1169,none
2005,North Dakota,51148,1480,none
2005,Ohio,53586,1268,none
2005,Oklahoma,45636,1757,none
2005,Oregon,53533,1686,none
2005,Pennsylvania,56128,903,none
2005,Rhode Island,59988,1765,none
2005,South Carolina,48770,1460,none
2005,South Dakota,52311,1660,none
2005,Tennessee,47771,1444,none
2005,Texas,50215,509,none
2005,Utah,66448,1580,none
2005,Vermont,61467,1587,none
2005,Virginia,62934,1437,none
2005,Washington,61397,1267,none
2005,West Virginia,44181,1304,none
2005,Wisconsin,54128,1428,none
2004,United States,55565,246,none
2004,Alabama,45908,1633,none
2004,Alaska,69012,2596,none
2004,Arizona,54954,1433,none
2004,Arkansas,43847,1246,none
2004,California,61692,827,none
2004,Colorado,63777,1993,none
2004,Connecticut,69059,2065,none
2004,Delaware,60221,1781,none
2004,D.C.,54459,2336,none
2004,Florida,50804,792,none
2004,Georgia,51367,775,none
2004,Hawaii,70490,2118,none
